Amazon,,,,Starbucks,,,,Coca-Cola,,,,S&P 500,,,
date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return
4/27/2000,52.88,-0.62,-1.16,4/27/2000,4.0949,-0.0077,-0.19,4/27/2000,15.1333,-0.3732,-2.41,4/27/2000,104.4649,-0.3465,-0.33
4/28/2000,55.19,2.31,4.37,4/28/2000,3.3402,-0.7547,-18.43,4/28/2000,14.8197,-0.3136,-2.07,4/28/2000,103.8164,-0.6485,-0.62
5/1/2000,59.94,4.75,8.61,5/1/2000,3.4187,0.0785,2.35,5/1/2000,14.506,-0.3137,-2.12,5/1/2000,105.2251,1.4087,1.36
5/2/2000,56.13,-3.81,-6.36,5/2/2000,3.5291,0.1104,3.23,5/2/2000,14.506,0,0.00,5/2/2000,103.1233,-2.1018,-2.00
5/3/2000,54.13,-2,-3.56,5/3/2000,3.5148,-0.0143,-0.41,5/3/2000,15.2117,0.7057,4.86,5/3/2000,100.7084,-2.4149,-2.34
5/4/2000,55.06,0.93,1.72,5/4/2000,3.6949,0.1801,5.12,5/4/2000,15.2117,0,0.00,5/4/2000,101.4687,0.7603,0.75
5/5/2000,58.5,3.44,6.25,5/5/2000,3.7225,0.0276,0.75,5/5/2000,14.7601,-0.4516,-2.97,5/5/2000,102.6984,1.2297,1.21
5/8/2000,56.02,-2.48,-4.24,5/8/2000,3.6463,-0.0762,-2.05,5/8/2000,15.2117,0.4516,3.06,5/8/2000,101.927,-0.7714,-0.75
5/9/2000,56.25,0.23,0.41,5/9/2000,3.6883,0.042,1.15,5/9/2000,15.839,0.6273,4.12,5/9/2000,101.1109,-0.8161,-0.80
5/10/2000,53.31,-2.94,-5.23,5/10/2000,3.5977,-0.0906,-2.46,5/10/2000,16.5635,0.7245,4.57,5/10/2000,98.8302,-2.2807,-2.26
5/11/2000,54.88,1.57,2.95,5/11/2000,3.6739,0.0762,2.12,5/11/2000,16.7987,0.2352,1.42,5/11/2000,101.0885,2.2583,2.29
5/12/2000,53.75,-1.13,-2.06,5/12/2000,3.5977,-0.0762,-2.07,5/12/2000,16.3879,-0.4108,-2.45,5/12/2000,102.1842,1.0957,1.08
5/15/2000,56.06,2.31,4.30,5/15/2000,3.591,-0.0067,-0.19,5/15/2000,16.2311,-0.1568,-0.96,5/15/2000,103.9506,1.7664,1.73
5/16/2000,59.06,3,5.35,5/16/2000,3.6739,0.0829,2.31,5/16/2000,15.3497,-0.8814,-5.43,5/16/2000,104.9568,1.0062,0.97
5/17/2000,61,1.94,3.28,5/17/2000,3.5844,-0.0895,-2.44,5/17/2000,15.1333,-0.2164,-1.41,5/17/2000,103.8611,-1.0957,-1.04
5/18/2000,55.38,-5.62,-9.21,5/18/2000,3.391,-0.1934,-5.40,5/18/2000,15.5065,0.3732,2.47,5/18/2000,102.5867,-1.2744,-1.23
